stock_id,StrategyRank,Chart,stock_name,industry_category,Rating,total_score,current_price,MA240,BiasRate,score_fill,score_roa,score_yield,cash_dividend,avg_yield,avg_fill_days,avg_roa,avg_core_ratio,price_date,RatingRank
1457,149,,宜進,紡織纖維,Unqualified,4,15.5,17.25875,-0.10190483088288545,2,0,2,0.9199999999999999,4.795446590200383,54.6,0,0,2026-01-29,1
2352,150,,佳世達,電子工業,Unqualified,3,25.6,28.463125,-0.1005906765332338,1,0,2,1.6620000000000001,4.758852862395342,80.0,0,0,2026-01-29,1
4938,151,,和碩,電子工業,Unqualified,3,70.1,77.91375,-0.10028717652532447,0,0,3,4.399395950000001,5.552880275312011,312.0,0,0,2026-01-29,1
6648,152,,斯其大,其他電子業,Unqualified,5,24.2,26.887083333333337,-0.09993956205736969,3,0,2,2.3000000000000003,4.051014004547625,25.0,0,0,2026-01-29,1
4930,153,,燦星網,電器電纜,Unqualified,3,21.8,24.217708333333334,-0.09983225084949891,0,0,3,2.54,7.384648272879703,374.6666666666667,0,0,2026-01-29,1
3597,154,,映興,電子零組件業,Unqualified,3,25.75,28.564999999999998,-0.09854717311395057,1,0,2,1.1499677560000001,4.445391101638701,62.2,0,0,2026-01-29,1
1806,155,,冠軍,玻璃陶瓷,Unqualified,3,8.98,9.950125000000002,-0.09749877514101593,0,0,3,1.0,8.767890717931007,331.0,0,0,2026-01-29,1
5907,156,,大洋-KY,貿易百貨,Unqualified,3,6.23,6.898458333333333,-0.09689966961217171,0,0,3,1.0,5.012531328320803,,0,0,2026-01-29,1
3088,157,,艾訊,電腦及週邊設備業,Unqualified,3,83.7,92.63791666666665,-0.09648227192789115,1,0,2,3.3443098919999996,4.349171553130789,74.5,0,0,2026-01-29,1
2397,158,,友通,電腦及週邊設備業,Unqualified,2,61.0,67.48666666666666,-0.09611775165464781,0,0,2,3.28,4.586261596065517,161.2,0,0,2026-01-29,1
2376,159,,技嘉,電腦及週邊設備業,Unqualified,4,237.5,262.74583333333334,-0.09608461916617772,2,0,2,7.711588653999999,4.9180690311053015,35.2,0,0,2026-01-29,1
4935,160,,茂林-KY,光電業,Unqualified,4,39.95,44.108333333333334,-0.09427545815227655,1,0,3,3.6399999999999997,5.917183773249394,92.0,0,0,2026-01-29,1
2227,161,,裕日車,汽車工業,Unqualified,3,54.2,59.835,-0.09417564970335085,1,0,2,8.437999999999999,4.806928766899514,61.5,0,0,2026-01-29,1
1515,162,,力山,電機機械,Unqualified,2,27.1,29.892916666666665,-0.09343071797945433,0,0,2,2.2,4.488552565062225,132.0,0,0,2026-01-29,1
3293,163,,鈊象,文化創意業,Unqualified,2,728.0,801.9916666666667,-0.09225989463730921,0,0,2,38.2,4.724889308618738,141.5,0,0,2026-01-29,1
6216,164,,居易,通信網路業,Unqualified,3,28.0,30.828958333333333,-0.0917630204285743,0,0,3,1.62403803,5.056774843963428,129.75,0,0,2026-01-29,1
3570,165,,大塚,資訊服務業,Unqualified,4,174.5,191.97916666666666,-0.09104720564297336,1,0,3,7.140000000000001,5.507558693256859,88.5,0,0,2026-01-29,1
1339,166,,昭輝,汽車工業,Unqualified,3,43.95,48.34458333333334,-0.090901255742198,0,0,3,2.6,5.41189192970517,157.0,0,0,2026-01-29,1
3646,167,,艾恩特,電子零組件業,Unqualified,4,25.75,28.319583333333334,-0.09073520973413571,1,0,3,1.5640214799999999,5.400991303244429,105.5,0,0,2026-01-29,1
7575,168,,安美得,生技醫療業,Unqualified,5,28.0,30.780208333333334,-0.09032454566990425,3,0,2,2.0,4.24578185838581,11.0,0,0,2026-01-29,1
8329,169,,台視,文化創意業,Unqualified,5,10.25,11.262708333333334,-0.08991694567248115,3,0,2,0.5,4.0791984732824424,1.0,0,0,2026-01-29,1
3014,170,,聯陽,電子工業,Unqualified,3,120.0,131.73958333333334,-0.08911204238159254,0,0,3,7.0,6.040964729962267,221.5,0,0,2026-01-29,1
3005,171,,神基,電腦及週邊設備業,Unqualified,3,113.5,124.50958333333332,-0.08842358185280243,0,0,3,4.388115174,5.365102573062968,336.2,0,0,2026-01-29,1
1537,172,,廣隆,電機機械,Unqualified,3,124.0,135.79166666666666,-0.08683645289966241,0,0,3,8.9,6.10293885941156,441.75,0,0,2026-01-29,1
5403,173,,中菲,資訊服務業,Unqualified,2,112.0,122.38958333333333,-0.08488944116295301,0,0,2,4.7016387019999994,4.634338991230225,173.25,0,0,2026-01-29,1
1540,174,,喬福,電機機械,Unqualified,5,25.4,27.7525,-0.08476713809566715,3,0,2,1.1,4.0781420121126954,11.0,0,0,2026-01-29,1
7760,175,,享溫馨,觀光餐旅,Unqualified,2,39.6,43.266458333333325,-0.08474135564982477,0,0,2,2.0,4.11522633744856,,0,0,2026-01-29,1
2504,176,,國產,建材營造,Unqualified,4,35.65,38.921041666666675,-0.0840430144362788,1,0,3,2.04,6.170438648290071,97.0,0,0,2026-01-29,1
2537,177,,聯上發,建材營造,Unqualified,3,10.55,11.506583333333333,-0.08313356846442972,0,0,3,0.65,6.951460997109272,264.5,0,0,2026-01-29,1
5009,178,,榮剛,鋼鐵工業,Unqualified,5,35.15,38.30354166666667,-0.08233028930092415,3,0,2,1.8538859859999999,4.66519173715181,20.0,0,0,2026-01-29,1
2636,179,,台驊控股,航運業,Unqualified,4,65.8,71.64916666666666,-0.08163621349399267,2,0,2,4.8366983,4.886963147949446,38.0,0,0,2026-01-29,1
6972,180,,博瑞達應材,化學工業,Unqualified,4,27.45,29.88375,-0.08144058225624294,2,0,2,1.5,4.901960784313726,60.0,0,0,2026-01-29,1
1722,181,,台肥,化學生技醫療,Unqualified,2,46.7,50.81625,-0.08100263203207624,0,0,2,2.44,4.020344823776788,179.33333333333334,0,0,2026-01-29,1
1532,182,,勤美,電機機械,Unqualified,4,24.75,26.918333333333333,-0.08055228778403813,2,0,2,1.501569558,4.683705323944338,38.75,0,0,2026-01-29,1
4126,183,,太醫,生技醫療業,Unqualified,4,82.2,89.38541666666667,-0.08038690129355555,1,0,3,4.54,5.4712099181993405,70.25,0,0,2026-01-29,1
5534,184,,長虹,建材營造,Unqualified,3,77.9,84.63041666666666,-0.07952715975836099,0,0,3,5.181915402,6.0734537852911785,216.25,0,0,2026-01-29,1
6768,185,,志強-KY,運動休閒,Unqualified,3,104.0,112.98458333333333,-0.07952043604769087,1,0,2,3.495092594,4.031432717276291,70.2,0,0,2026-01-29,1
4999,186,,鑫禾,電子零組件業,Unqualified,3,24.0,26.058541666666667,-0.07899681006707654,1,0,2,1.75,4.6702118980090574,63.5,0,0,2026-01-29,1
4766,187,,南寶,化學生技醫療,Unqualified,2,318.5,344.97083333333336,-0.0767335402751441,0,0,2,11.4,4.837243110405314,234.2,0,0,2026-01-29,1
1580,188,,新麥,電機機械,Unqualified,3,130.0,140.78333333333333,-0.07659524091393392,0,0,3,7.590505566,5.966523999348598,223.66666666666666,0,0,2026-01-29,1
2915,189,,潤泰全,貿易百貨,Unqualified,5,50.9,55.093125,-0.07610976868710936,3,0,2,3.1666666666666665,4.298163761243817,5.0,0,0,2026-01-29,1
