stock_id,策略排名,K線圖,名稱,產業分類,評級,總分,收盤價,乖離率,cash_dividend,平均殖利率,平均填息天數,price_date,年線(240MA),平均ROA,本業獲利比,殖利率評分,填息能見度評分,ROA評分,評級分數
4570,34,"<a href=""HighYield_V2_Charts/Chart_4570.html"" target=""_blank"">📊 View</a>",傑生,電機機械,Elite,8,67.1,-0.07919263537080463,3.75,4.655090952043468,1.0,2026-02-02,72.87083333333334,6.888691352715563,92.459000400003,2,3,3,3
2063,35,"<a href=""HighYield_V2_Charts/Chart_2063.html"" target=""_blank"">📊 View</a>",世鎧,鋼鐵工業,Elite,8,26.85,-0.07589055240061945,1.8125,4.256660281748031,29.2,2026-02-02,29.055,7.891091411766655,95.77164172992853,2,3,3,3
5225,36,"<a href=""HighYield_V2_Charts/Chart_5225.html"" target=""_blank"">📊 View</a>",東科-KY,電子工業,Elite,9,96.5,-0.07183276959330566,5.152929745,5.634680918594168,4.333333333333333,2026-02-02,103.96833333333333,5.557900323312836,56.490184924801305,3,3,3,3
9962,37,"<a href=""HighYield_V2_Charts/Chart_9962.html"" target=""_blank"">📊 View</a>",有益,鋼鐵工業,Elite,9,11.4,-0.06544609919387884,1.125,6.30870565628658,25.0,2026-02-02,12.198333333333332,5.369573824962273,-21.91867754699564,3,3,3,3
8016,38,"<a href=""HighYield_V2_Charts/Chart_8016.html"" target=""_blank"">📊 View</a>",矽創,電子工業,Elite,8,189.0,-0.06146222364759313,17.1,8.046206938908472,37.5,2026-02-02,201.37708333333333,17.177205724018357,91.75419293819681,3,2,3,3
8481,39,"<a href=""HighYield_V2_Charts/Chart_8481.html"" target=""_blank"">📊 View</a>",政伸,其他,Elite,9,42.15,-0.059575991112639885,4.37,6.685788692273188,7.0,2026-02-02,44.82020833333333,15.560219451586727,83.71706515301175,3,3,3,3
5299,40,"<a href=""HighYield_V2_Charts/Chart_5299.html"" target=""_blank"">📊 View</a>",杰力,半導體業,Elite,8,72.6,-0.0561980337459037,6.947840638,5.190743380797278,47.333333333333336,2026-02-02,76.92291666666667,15.59991507633672,86.21885977282548,3,2,3,3
1713,41,"<a href=""HighYield_V2_Charts/Chart_1713.html"" target=""_blank"">📊 View</a>",國化,化學生技醫療,Elite,9,48.1,-0.04859625916356585,2.282,5.045211832276516,18.25,2026-02-02,50.556875000000005,12.358158852377139,3.786738670264138,3,3,3,3
3541,42,"<a href=""HighYield_V2_Charts/Chart_3541.html"" target=""_blank"">📊 View</a>",西柏,其他電子類,Elite,9,26.05,-0.03733928708907529,3.282678496666667,5.595643745543114,10.0,2026-02-02,27.060416666666665,5.2438761098649636,63.89803264476948,3,3,3,3
3580,43,"<a href=""HighYield_V2_Charts/Chart_3580.html"" target=""_blank"">📊 View</a>",友威科,其他電子類,Elite,8,64.7,-0.036114663124309394,2.584,4.237505770378698,22.0,2026-02-02,67.12416666666667,8.107541631712653,85.74212810509209,2,3,3,3
6792,44,"<a href=""HighYield_V2_Charts/Chart_6792.html"" target=""_blank"">📊 View</a>",詠業,電子工業,Elite,8,54.4,-0.03156895323997152,3.8899999999999997,4.548412604650549,19.0,2026-02-02,56.17333333333333,9.520587451499368,82.77086070129117,2,3,3,3
9951,45,"<a href=""HighYield_V2_Charts/Chart_9951.html"" target=""_blank"">📊 View</a>",皇田,電機機械,Elite,8,54.9,-0.030902130382497978,3.4033405,4.670648428243423,13.333333333333334,2026-02-02,56.650625,8.001248954308624,91.38112137736445,2,3,3,3
6924,46,"<a href=""HighYield_V2_Charts/Chart_6924.html"" target=""_blank"">📊 View</a>",榮惠-KY創,電子零組件業,Elite,9,61.3,-0.028346498296040065,5.5,7.452574525745257,7.0,2026-02-02,63.08833333333334,11.88572818632533,93.32658603637223,3,3,3,3
6846,47,"<a href=""HighYield_V2_Charts/Chart_6846.html"" target=""_blank"">📊 View</a>",綠茵,食品工業,Elite,8,74.2,-0.01360393494926229,3.6648714833333336,4.006651165215476,21.5,2026-02-02,75.22333333333334,13.19569951678526,97.07686034133685,2,3,3,3
6899,48,"<a href=""HighYield_V2_Charts/Chart_6899.html"" target=""_blank"">📊 View</a>",創為精密,光電業,Elite,8,51.6,-0.006546014632268066,3.0372711100000003,4.721151310909243,14.0,2026-02-02,51.940000000000005,8.372570579145222,98.96171141500906,2,3,3,3
1436,49,"<a href=""HighYield_V2_Charts/Chart_1436.html"" target=""_blank"">📊 View</a>",華友聯,建材營造,Superior,7,59.8,-0.3535571920816161,5.343303756,6.120860653730524,118.5,2026-02-02,92.50625,5.210027999159445,115.47483669783776,3,1,3,2
2520,50,"<a href=""HighYield_V2_Charts/Chart_2520.html"" target=""_blank"">📊 View</a>",冠德,建材營造,Superior,6,31.8,-0.2688814806299574,2.3106327159999998,5.71086323134669,406.0,2026-02-02,43.495,5.350601016489698,114.47392622635331,3,0,3,2
1565,51,,精華,生技醫療業,Superior,6,111.0,-0.268141921127457,11.4,5.030884031000374,151.66666666666666,2026-02-02,151.66875,11.039577242454998,96.66471438146608,3,0,3,2
6538,52,,倉和,電子零組件業,Superior,7,64.0,-0.2611050712437102,5.361918806,4.645321883616053,38.25,2026-02-02,86.61583333333333,8.740698458871714,100.19680634550235,2,2,3,2
3592,53,,瑞鼎,電子工業,Superior,7,223.0,-0.26035973161782483,26.78,7.440103310801151,84.0,2026-02-02,301.49791666666664,11.391268345656798,95.93709855536564,3,1,3,2
7782,54,,光速火箭,居家生活類,Superior,6,27.45,-0.25688213099313617,2.58126179,5.2678812040816325,,2026-02-02,36.93895833333333,8.44215488605026,132.99310483979846,3,0,3,2
4557,55,,永新-KY,汽車工業,Superior,7,68.2,-0.2530734057990854,5.5,5.531882371215119,79.25,2026-02-02,91.30749999999999,8.341555656871916,84.48030502629373,3,1,3,2
2938,56,,床的世界,居家生活,Superior,6,23.35,-0.2515126016748808,2.65,6.048986987521721,223.0,2026-02-02,31.196250000000003,5.568860121301373,112.217997954308,3,0,3,2
6412,57,,群電,電子零組件業,Superior,6,80.8,-0.22963857527629244,5.42,5.401916691067315,177.0,2026-02-02,104.88583333333332,8.720307274511484,97.92493853137134,3,0,3,2
6180,58,,橘子,文化創意業,Superior,7,50.9,-0.217118797223771,4.816,6.910046385804698,90.25,2026-02-02,65.01625,10.413368125688708,-205.21664972109605,3,1,3,2
3078,59,,僑威,電子零組件業,Superior,6,61.8,-0.21624992073724922,3.5100000000000002,6.024292043491667,226.75,2026-02-02,78.85166666666666,10.186854197857897,83.53055585062573,3,0,3,2
4961,60,,天鈺,電子工業,Superior,7,143.0,-0.21560560869416162,10.302058968,5.838465408020215,62.0,2026-02-02,182.30625,11.35699009388217,91.62165359451245,3,1,3,2
6807,61,,峰源-KY,居家生活,Superior,7,45.5,-0.209285822900299,2.84,6.26128458258583,110.33333333333333,2026-02-02,57.54291666666666,8.377424870192986,77.52953425943876,3,1,3,2
8359,62,,錢櫃,觀光餐旅,Superior,7,61.4,-0.20818467093668047,4.66,5.045190347230723,76.5,2026-02-02,77.54333333333332,6.886208406569007,89.25902827239364,3,1,3,2
5312,63,,寶島科,生技醫療業,Superior,6,97.3,-0.2014253422291832,5.220000000000001,5.690382613377076,167.0,2026-02-02,121.84208333333332,6.604051721174617,50.107064870652096,3,0,3,2
2357,64,,華碩,電腦及週邊設備業,Superior,7,499.5,-0.19985315957216035,26.8,6.740016444055852,100.2,2026-02-02,624.2604166666666,5.841231287660164,69.09086578517265,3,1,3,2
4995,65,,晶達,光電業,Superior,6,40.5,-0.19977936303425223,2.858677696,5.668613592137843,197.5,2026-02-02,50.611041666666665,8.311708849957125,100.67277701656968,3,0,3,2
3034,66,,聯詠,半導體業,Superior,7,368.5,-0.1987388562731028,32.82,7.871444685405805,86.33333333333333,2026-02-02,459.9,21.73836493490012,96.54592432531354,3,1,3,2
6189,67,,豐藝,電子工業,Superior,7,48.2,-0.19867831797258956,3.447037262,6.354587484734149,116.0,2026-02-02,60.150625,5.85135867311969,116.84273035453913,3,1,3,2
